timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature
2020-04-14 05:33:06-05:00,2020-04-14 10:32:28,13.710913611575961,100.60183472000062,13.7108891364187,100.60184075497091,38.088,38.088,89.03,48,5,8.413200000000002,8.413200000000002,9.1368,9.1368,0,0,lap,stop,132,136,79,81,manual,generic,0.40625,0.0,None,None,31,31
2020-04-14 05:33:45-05:00,2020-04-14 10:33:06,13.710902547463775,100.60185936279595,13.710867427289486,100.60185978189111,39.31,39.31,85.95,51,6,7.8696,7.8696,9.3384,9.3384,1,0,lap,stop,132,135,80,82,manual,generic,0.2421875,0.0,None,None,31,31
2020-04-14 05:34:23-05:00,2020-04-14 10:33:45,13.710883185267448,100.60187067836523,13.710899194702506,100.60184335336089,37.611,37.611,91.87,49,6,8.7948,8.7948,9.6732,9.6732,0,0,lap,stop,132,136,79,83,manual,generic,0.8828125,0.0,None,None,31,31
2020-04-14 05:35:09-05:00,2020-04-14 10:34:23,13.710915204137564,100.60185114853084,13.710966166108847,100.60176129452884,46.466,46.466,110.79,59,7,8.5824,8.5824,9.7416,9.7416,1,0,lap,stop,130,138,79,83,manual,generic,0.7734375,0.0,None,None,31,31
2020-04-14 05:35:40-05:00,2020-04-14 10:35:09,13.710951833054423,100.60174545273185,13.710855357348919,100.60188559815288,31.007,31.007,75.63,40,5,8.7804,8.7804,9.9756,9.9756,0,1,lap,stop,134,137,80,81,manual,generic,0.6328125,0.5,None,None,31,31
2020-04-14 05:36:20-05:00,2020-04-14 10:35:40,13.71087547391653,100.60189557261765,13.710956443101168,100.6018341332674,40.06,40.06,98.64,51,6,8.8632,8.8632,9.8748,9.8748,1,0,lap,stop,137,139,80,83,manual,generic,0.1875,0.0,None,None,31,31
2020-04-14 05:36:55-05:00,2020-04-14 10:36:20,13.710973877459764,100.6018240749836,13.710895339027047,100.60181292705238,34.978,34.978,91.16,45,6,9.3816,9.3816,10.6812,10.6812,1,1,lap,stop,137,142,80,81,manual,generic,0.625,0.0,None,None,31,31
2020-04-14 05:37:33-05:00,2020-04-14 10:36:55,13.710922077298164,100.60182189568877,13.71084563434124,100.6018893700093,37.236,37.236,94.53,49,6,9.140400000000001,9.140400000000001,10.6128,10.6128,1,1,lap,stop,140,141,80,82,manual,generic,0.5546875,0.0,None,None,31,31
2020-04-14 05:38:10-05:00,2020-04-14 10:37:33,13.7108666729182,100.60189682990313,13.710860386490822,100.60188517905772,37.018,37.018,98.4,49,6,9.5688,9.5688,11.0844,11.0844,1,1,lap,stop,140,143,80,82,manual,generic,0.625,0.0,None,None,31,31
2020-04-14 05:38:47-05:00,2020-04-14 10:38:10,13.710886621847749,100.60188953764737,13.710879078134894,100.60183346271515,37.809,37.809,91.49,48,6,8.712,8.712,10.6128,10.6128,0,0,lap,stop,142,145,81,83,manual,generic,0.015625,0.0,None,None,31,31
2020-04-14 05:39:26-05:00,2020-04-14 10:38:47,13.710898524150252,100.60184553265572,13.710836162790656,100.60186799615622,38.777,38.777,93.29,51,6,8.6616,8.6616,10.177200000000001,10.177200000000001,0,0,lap,stop,144,147,80,83,manual,generic,0.6953125,0.0,None,None,31,31
2020-04-14 05:40:02-05:00,2020-04-14 10:39:26,13.710860889405012,100.6018811557442,13.710799952968955,100.60189272277057,36.184,36.184,100.03,46,6,9.9504,9.9504,10.1448,10.1448,0,0,lap,stop,148,150,81,83,manual,generic,0.0703125,0.0,None,None,31,31
2020-04-14 05:40:39-05:00,2020-04-14 10:40:02,13.710816716775298,100.60190915130079,13.710852423682809,100.60188216157258,36.188,36.188,95.01,49,7,9.450000000000001,9.450000000000001,10.278,10.278,0,1,lap,stop,150,153,82,87,manual,generic,0.9296875,0.0,None,None,31,31
2020-04-14 05:41:15-05:00,2020-04-14 10:40:39,13.710879581049085,100.60187637805939,13.710822081193328,100.60188425704837,35.991,35.991,96.63,47,6,9.666,9.666,10.4148,10.4148,1,0,lap,stop,147,150,81,83,manual,generic,0.5,0.0,None,None,31,31
2020-04-14 05:41:51-05:00,2020-04-14 10:41:15,13.710854770615697,100.60188073664904,13.710888214409351,100.60185416601598,36.788,36.788,85.65,46,6,8.380799999999999,8.380799999999999,10.4148,10.4148,0,0,lap,stop,148,151,80,82,manual,generic,0.8203125,0.0,None,None,31,31
2020-04-14 05:42:29-05:00,2020-04-14 10:41:51,13.710905816406012,100.60186732560396,13.71079383417964,100.60189104638994,37.455,37.455,98.05,50,7,9.4248,9.4248,9.943200000000001,9.943200000000001,1,1,lap,stop,151,154,80,82,manual,generic,0.40625,0.0,None,None,31,31
2020-04-14 05:43:07-05:00,2020-04-14 10:42:29,13.710820488631725,100.60189574025571,13.710849909111857,100.60186984017491,37.742,37.742,97.06,49,7,9.2592,9.2592,10.112400000000001,10.112400000000001,1,2,lap,stop,155,164,80,82,manual,generic,0.5234375,0.0,None,None,31,31
2020-04-14 05:43:45-05:00,2020-04-14 10:43:07,13.710876228287816,100.60187126509845,13.710802802816033,100.60187981463969,38.644,38.644,93.74,49,7,8.733600000000001,8.733600000000001,10.044,10.044,1,1,lap,stop,162,164,80,83,manual,generic,0.7265625,0.0,None,None,31,31
2020-04-14 05:44:27-05:00,2020-04-14 10:43:45,13.710831888020039,100.60188174247742,13.71081579476595,100.60192499309778,41.369,41.369,97.22,55,7,8.46,8.46,9.7416,9.7416,1,2,lap,stop,162,165,79,81,manual,generic,0.6796875,0.0,None,None,31,31
2020-04-14 05:45:06-05:00,2020-04-14 10:44:27,13.71084856800735,100.60191610828042,13.71079534292221,100.60189607553184,38.965,38.965,87.56,51,7,8.0892,8.0892,9.306000000000001,9.306000000000001,1,1,lap,stop,164,167,79,82,manual,generic,0.8359375,0.0,None,None,31,31
2020-04-14 05:45:45-05:00,2020-04-14 10:45:06,13.710829876363277,100.60189607553184,13.710783943533897,100.60190713964403,39.26,39.26,89.74,50,7,8.2296,8.2296,9.5724,9.5724,0,1,lap,stop,162,165,80,83,manual,generic,0.640625,0.0,None,None,31,31
2020-04-14 05:46:26-05:00,2020-04-14 10:45:45,13.710810681805015,100.60190789401531,13.710788553580642,100.6018737796694,41.356,41.356,88.54,53,7,7.7076,7.7076,9.2376,9.2376,0,0,lap,stop,159,163,79,82,manual,generic,0.7421875,0.0,None,None,31,31
2020-04-14 05:47:07-05:00,2020-04-14 10:46:26,13.710804730653763,100.60188677161932,13.710765251889825,100.60190789401531,40.425,40.425,105.27,54,7,9.374400000000001,9.374400000000001,8.935200000000002,8.935200000000002,0,0,lap,stop,163,165,80,82,manual,generic,0.515625,0.0,None,None,31,31
2020-04-14 05:47:47-05:00,2020-04-14 10:47:07,13.710796935483813,100.60189431533217,13.710819482803345,100.60188467614353,40.626,40.626,95.55,52,7,8.4672,8.4672,9.270000000000001,9.270000000000001,0,0,lap,stop,159,162,79,81,manual,generic,0.9609375,0.0,None,None,31,31
2020-04-14 05:48:26-05:00,2020-04-14 10:47:47,13.710842952132225,100.6018877774477,13.710700627416372,100.60192088596523,39.18,39.18,91.46,51,7,8.4024,8.4024,9.370800000000001,9.370800000000001,1,0,lap,stop,161,163,80,83,manual,generic,0.1953125,0.0,None,None,31,31
2020-04-14 05:49:05-05:00,2020-04-14 10:48:26,13.710719905793667,100.60193580575287,13.710797354578972,100.60188425704837,38.683,38.683,87.28,52,7,8.121599999999999,8.121599999999999,9.6408,9.6408,0,0,lap,stop,158,162,81,83,manual,generic,0.1015625,0.0,None,None,31,31
2020-04-14 05:49:44-05:00,2020-04-14 10:49:05,13.710826355963945,100.6018877774477,13.71078989468515,100.60189750045538,38.387,38.387,95.35,51,7,8.942400000000001,8.942400000000001,9.7416,9.7416,0,0,lap,stop,156,160,80,83,manual,generic,0.3203125,0.0,None,None,31,31
2020-04-14 05:50:23-05:00,2020-04-14 10:49:44,13.710820656269789,100.60189406387508,13.710796432569623,100.60190328396857,39.434,39.434,93.08,50,7,8.496,8.496,9.709200000000001,9.709200000000001,0,0,lap,stop,153,156,80,81,manual,generic,0.3359375,0.0,None,None,31,31
2020-04-14 05:51:02-05:00,2020-04-14 10:50:23,13.7108183093369,100.60190437361598,13.710716972127557,100.60191292315722,38.751,38.751,98.73,52,6,9.1728,9.1728,9.3384,9.3384,0,0,lap,stop,143,154,80,82,manual,generic,0.9375,0.0,None,None,31,31
2020-04-14 05:51:40-05:00,2020-04-14 10:51:02,13.71073859743774,100.60192130506039,13.710730718448758,100.6019033677876,38.177,38.177,102.54,48,7,9.6696,9.6696,10.5156,10.5156,0,0,lap,stop,149,156,80,82,manual,generic,0.5234375,0.0,None,None,31,31
2020-04-14 05:52:17-05:00,2020-04-14 10:51:40,13.710760306566954,100.60190252959728,13.710815040394664,100.60186807997525,36.833,36.833,100.35,48,7,9.806400000000002,9.806400000000002,10.4796,10.4796,0,0,lap,stop,155,157,81,82,manual,generic,0.2421875,0.0,None,None,31,31
2020-04-14 05:52:53-05:00,2020-04-14 10:52:17,13.710851334035397,100.60186933726072,13.710771119222045,100.60190236195922,36.309,36.309,84.9,47,6,8.4168,8.4168,9.8748,9.8748,0,1,lap,stop,156,160,81,84,manual,generic,0.7890625,0.0,None,None,31,31
2020-04-14 05:53:29-05:00,2020-04-14 10:52:53,13.710801042616367,100.60190571472049,13.710846556350589,100.60180563479662,36.468,36.468,99.24,47,6,9.7956,9.7956,10.3788,10.3788,0,0,lap,stop,157,160,82,84,manual,generic,0.1953125,0.0,None,None,31,31
2020-04-14 05:54:06-05:00,2020-04-14 10:53:29,13.710879748687148,100.60181158594787,13.710858877748251,100.60179641470313,36.483,36.483,103.32,49,7,10.1952,10.1952,10.1448,10.1448,0,0,lap,stop,157,162,82,84,manual,generic,0.109375,0.0,None,None,31,31
2020-04-14 05:54:43-05:00,2020-04-14 10:54:06,13.710892237722874,100.60180010274053,13.710791654884815,100.60184025205672,36.814,36.814,89.57,48,7,8.758799999999999,8.758799999999999,9.774,9.774,0,0,lap,stop,159,164,80,83,manual,generic,0.90625,0.0,None,None,31,31
2020-04-14 05:55:18-05:00,2020-04-14 10:54:43,13.71082266792655,100.60183824039996,13.710782350972295,100.60186925344169,35.295,35.295,93.05,46,6,9.489600000000001,9.489600000000001,10.044,10.044,0,0,lap,stop,159,162,81,82,manual,generic,0.171875,0.0,None,None,31,31
2020-04-14 05:55:53-05:00,2020-04-14 10:55:18,13.71080313809216,100.60188358649611,13.710825936868787,100.60181493870914,35.197,35.197,95.26,46,7,9.7416,9.7416,10.314000000000002,10.314000000000002,0,0,lap,stop,159,162,81,85,manual,generic,0.9140625,0.0,None,None,31,31
2020-04-14 05:56:29-05:00,2020-04-14 10:55:53,13.7108666729182,100.6018098257482,13.710777489468455,100.6018396653235,36.134,36.134,97.28,47,6,9.6912,9.6912,10.5156,10.5156,0,1,lap,stop,155,158,81,85,manual,generic,0.7109375,0.0,None,None,31,31
2020-04-14 05:57:06-05:00,2020-04-14 10:56:29,13.71079333126545,100.60185911133885,13.710847226902843,100.6018259190023,36.191,36.191,105.77,48,7,10.5228,10.5228,10.6812,10.6812,0,0,lap,stop,160,162,81,84,manual,generic,0.8125,0.0,None,None,31,31
