Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-03-27 15:59:00,FALSE,Vadhana Running,3.75,312,0:32:20,152,167,3.2,167,185,8:37,10:34,39,36,0.75,0,0,0,0,0,0:00,0:00,91.4,0:00,No,00:36.76,50,0
Running,2020-03-25 15:56:00,FALSE,Vadhana Running,4.8,441,0:42:00,153,180,3.8,163,176,8:45,8:47,151,161,0.89,0,0,0,0,0,0:00,0:00,89.6,0:00,No,00:36.69,63,0
Running,2020-03-24 13:40:00,FALSE,Vadhana Running,3.75,339,0:31:38,157,173,3.6,162,170,8:26,8:27,102,82,0.9,0,0,0,0,0,0:00,0:00,91.4,0:00,No,00:33.28,49,0
Running,2020-01-13 7:28:06,FALSE,Lalitpur Running,3.02,100,0:16:29,104,145,0.9,4,180,5:28,3:18,75,138,26.34,0,0,0,0,0,0:00,0:00,48.2,0:00,No,00:07.47,4,0
Running,2020-01-01 14:50:36,FALSE,Salzburg Running,5.62,669,0:55:44,151,175,4.4,149,169,9:55,7:33,194,154,1.09,0,0,0,0,0,0:00,0:00,44.6,0:00,No,05:31.60,6,0
Running,2019-12-28 9:09:13,FALSE,Munich Running,4.51,528,0:44:48,150,170,4.2,148,201,9:55,6:59,118,125,1.1,0,0,0,0,0,0:00,0:00,41,0:00,No,07:36.21,5,0
Treadmill Running,2019-11-11 12:07:44,FALSE,Treadmill Running,3.01,380,0:29:29,154,173,3.9,176,189,9:48,9:13,NA,NA,0.94,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:04.92,4,0
Running,2019-10-28 6:10:49,FALSE,Naldung Baluwapati Running,4.37,555,0:54:20,140,163,3.2,138,210,12:25,7:04,820,869,0.94,0,0,0,0,0,0:00,0:00,55.4,0:00,No,03:41.69,5,0
Treadmill Running,2019-09-30 8:42:07,FALSE,Treadmill Running,4.97,681,0:52:43,153,176,4.2,173,191,10:36,9:16,NA,NA,0.92,0,0,0,0,0,0:00,0:00,71.6,0:00,No,01:57.13,6,0
Running,2019-09-09 8:27:59,FALSE,Sainbu Bhainsepati Running,6,"1,063",1:28:51,155,187,4.9,122,218,14:48,8:39,889,830,0.89,0,0,0,0,0,0:00,0:00,78.8,0:00,No,13:29.55,6,0
Treadmill Running,2019-08-19 7:50:27,FALSE,Treadmill Running,3.1,544,0:37:29,164,185,4.8,170,189,12:06,7:46,NA,NA,0.93,0,0,0,0,0,0:00,0:00,78.8,0:00,No,07:14.52,4,0
Running,2019-07-10 10:17:52,FALSE,Florida Running,3,398,0:30:24,152,172,3.4,168,179,10:07,8:26,33,49,0.95,0,0,0,0,0,0:00,0:00,84.2,0:00,No,00:02.18,4,0
Running,2019-07-07 9:26:57,FALSE,Florida Running,3.3,416,0:29:56,152,174,3.7,172,187,9:04,8:33,16,16,1.03,0,0,0,0,0,0:00,0:00,84.2,0:00,No,02:42.59,4,0
Running,2019-06-18 11:33:16,FALSE,Montgomery County Running,4.28,542,0:39:48,152,180,3.7,160,208,9:18,7:53,285,243,1.08,0,0,0,0,0,0:00,0:00,80.6,0:00,No,02:18.06,5,0
Running,2019-06-14 10:51:07,FALSE,Montgomery County Running,4.17,514,0:37:55,152,164,3.4,164,175,9:06,6:07,299,292,1.08,0,0,0,0,0,0:00,0:00,69.8,0:00,No,01:22.31,5,0
Running,2019-06-12 10:27:28,FALSE,Montgomery County Running,4.29,495,0:37:42,147,160,3.3,164,181,8:47,7:23,266,266,1.12,0,0,0,0,0,0:00,0:00,71.6,0:00,No,02:20.27,5,0
Running,2019-06-11 12:20:31,FALSE,Montgomery County Running,4.27,556,0:38:14,162,178,4,160,216,8:57,7:22,302,292,1.13,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:03.35,5,0
Running,2019-06-09 9:10:50,FALSE,Montgomery County Running,8.38,"1,041",1:17:31,152,181,4.5,163,185,9:15,7:21,417,472,1.07,0,0,0,0,0,0:00,0:00,73.4,0:00,No,03:11.63,9,0
Running,2019-06-03 10:50:20,FALSE,Montgomery County Running,4.24,479,0:37:04,145,160,3.1,165,179,8:45,7:30,322,249,1.12,0,0,0,0,0,0:00,0:00,73.4,0:00,No,02:09.83,5,0
Running,2019-05-31 12:10:12,FALSE,Montgomery County Running,4.29,539,0:38:08,156,175,3.7,162,243,8:54,4:00,266,249,1.12,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:27.76,5,0
Running,2019-05-29 11:26:14,FALSE,Montgomery County Running,3.89,475,0:34:39,152,180,3.6,160,238,8:55,7:25,240,269,1.12,0,0,0,0,0,0:00,0:00,80.6,0:00,No,08:00.85,4,0
Running,2019-05-28 12:46:12,FALSE,Montgomery County Running,4.27,523,0:39:06,150,181,3.5,160,177,9:09,7:36,266,282,1.1,0,0,0,0,0,0:00,0:00,80.6,0:00,No,02:34.57,5,0
